ASVid,Genus,Species
ASV_397,Nitrosospira,Nitrosospira-sp_2630434854
ASV_398,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_399,Nitrosospira,Nitrosospira-sp_2636913388
ASV_400,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_401,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_402,Nitrosospira,Nitrosospira-sp_2636913388
ASV_403,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_404,Nitrosolobus,Nitrosolobus-multiformis-Nl7_2671428569
ASV_405,Nitrosospira,Nitrosospira-sp_2636913388
ASV_406,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_407,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_408,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_409,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_410,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_411,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_412,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_413,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_414,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_415,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_417,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_418,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_419,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_420,Nitrosospira,Nitrosospira-sp_2636913388
ASV_421,Nitrosospira,Nitrosospira-sp_2636913388
ASV_422,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_423,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_424,Nitrosospira,Nitrosospira-sp_2636913388
ASV_425,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_426,Nitrosospira,Nitrosospira-sp_2636913388
ASV_427,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_428,Nitrosospira,Nitrosospira-sp_2630434854
ASV_429,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_430,Nitrosospira,Nitrosospira-briensis-C-128_2588205525
ASV_431,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_432,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_433,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_434,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_435,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_436,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_437,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_438,Nitrosospira,Nitrosospira-sp-Nsp22_2737533475
ASV_439,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_440,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_441,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_442,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_443,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_444,Nitrosospira,Nitrosospira-briensis-C-128_2588205525
ASV_445,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_446,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_447,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_448,Nitrosomonas,Nitrosomonas-sp-Is79A3_651001907
ASV_449,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_450,Nitrosospira,Nitrosospira-sp_2636913388
ASV_451,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_452,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_453,Nitrosospira,Nitrosospira-sp_2636913388
ASV_454,Nitrosospira,Nitrosospira-sp_2636913388
ASV_455,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_456,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_457,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_458,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_459,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_460,Nitrosospira,Nitrosospira-sp_2636913388
ASV_461,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_462,Nitrosomonas,Nitrosomonas-communis-Nm44_2676397764
ASV_463,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_464,Nitrosospira,Nitrosospira-sp-Nsp22_2737533475
ASV_465,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_466,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_467,Nitrosospira,Nitrosospira-sp_2636913388
ASV_468,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_469,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_470,Nitrosomonas,Nitrosomonas-sp-Nm84_2737537902
ASV_471,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_472,Nitrosospira,Nitrosospira-sp_2636913388
ASV_473,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_474,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_476,Nitrosospira,Nitrosospira-sp_2636913388
ASV_477,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_478,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_479,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_480,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_481,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_482,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_483,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_484,Nitrosospira,Nitrosospira-briensis-C-128_2588205525
ASV_485,Nitrosospira,Nitrosospira-briensis-C-128_2588205525
ASV_486,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_487,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_488,Nitrosospira,Nitrosospira-sp_2636913388
ASV_489,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_490,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_491,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_492,Nitrosospira,Nitrosospira-sp_2636913388
ASV_493,Nitrosospira,Nitrosospira-sp_2636913388
ASV_494,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_495,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_496,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_497,Nitrosospira,Nitrosospira-sp_2636913388
ASV_498,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_499,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_500,Nitrosospira,Nitrosospira-sp_2636913388
ASV_501,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_502,Nitrosospira,Nitrosospira-briensis-C-128_2588205525
ASV_503,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_504,Nitrosospira,Nitrosospira-briensis-C-128_2588205525
ASV_505,Nitrosospira,Nitrosospira-sp_2636913388
ASV_506,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_507,Nitrosospira,Nitrosospira-sp_2636913388
ASV_508,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_509,Nitrosospira,Nitrosospira-sp_2636913388
ASV_510,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_511,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_512,Nitrosospira,Nitrosospira-sp_2636913388
ASV_514,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_515,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_516,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_517,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_518,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_519,Nitrosospira,Nitrosospira-sp_2636913388
ASV_520,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_521,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_522,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_523,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_524,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_525,Nitrosolobus,Nitrosolobus-sp-Nl14_2671461169
ASV_526,Nitrosospira,Nitrosospira-sp_2636913388
ASV_527,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_528,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_529,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_530,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_531,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_532,Nitrosospira,Nitrosospira-sp-Nsp22_2737533475
ASV_533,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_534,Nitrosospira,Nitrosospira-sp_2630434854
ASV_535,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_536,Nitrosospira,Nitrosospira-sp_2636913388
ASV_537,Nitrosospira,Nitrosospira-briensis-C-128_2588205525
ASV_538,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_539,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_540,Nitrosolobus,Nitrosolobus-sp-Nl5_2671347534
ASV_541,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_543,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_544,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_545,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_546,Nitrosospira,Nitrosospira-briensis-C-128_2588205525
ASV_547,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_548,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_549,Nitrosomonas,Nitrosomonas-communis-Nm44_2676397764
ASV_550,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_551,Nitrosospira,Nitrosospira-sp_2630434854
ASV_552,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_553,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_554,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_556,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_557,Nitrosospira,Nitrosospira-sp_2636913388
ASV_558,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_560,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_561,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_562,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_563,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_564,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_565,Nitrosospira,Nitrosospira-sp_2636913388
ASV_566,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_567,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_568,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_569,Nitrosospira,Nitrosospira-sp_2630434854
ASV_570,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_571,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_572,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_573,Nitrosomonas,Nitrosomonas-sp-Nm84_2737537902
ASV_574,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_575,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_576,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_577,Nitrosospira,Nitrosospira-sp_2636913388
ASV_578,Nitrosomonas,Nitrosomonas-europaea-ATCC-19718_637427314
ASV_579,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_580,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_581,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_582,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_583,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_584,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_585,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_586,Nitrosospira,Nitrosospira-sp_2636913388
ASV_587,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_588,Nitrosospira,Nitrosospira-sp_2636913388
ASV_589,Nitrosospira,Nitrosospira-sp_2636913388
ASV_590,Nitrosospira,Nitrosospira-sp_2636913388
ASV_591,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_592,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_593,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_594,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_595,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_596,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_597,Nitrosospira,Nitrosospira-sp_2636913388
ASV_598,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_599,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_600,Nitrosospira,Nitrosospira-sp_2630434854
ASV_601,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_602,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_603,Nitrosospira,Nitrosospira-sp_2630434854
ASV_604,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_605,Nitrosospira,Nitrosospira-sp_2636913388
ASV_606,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_607,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_608,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_609,Nitrosospira,Nitrosospira-briensis-C-128_2588205525
ASV_610,Nitrosomonas,Nitrosomonas-europaea-ATCC-19718_637427314
ASV_611,Nitrosomonas,Nitrosomonas-europaea-ATCC-19718_637427314
ASV_612,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_613,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_614,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_615,Nitrosospira,Nitrosospira-sp_2636913388
ASV_616,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_617,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_618,Nitrosospira,Nitrosospira-sp-Nsp22_2737533475
ASV_619,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_620,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_621,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_622,Nitrosospira,Nitrosospira-sp_2636913388
ASV_623,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_624,Nitrosospira,Nitrosospira-sp_2636913388
ASV_625,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_627,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_628,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_629,Nitrosolobus,Nitrosolobus-sp-Nl14_2671461169
ASV_630,Nitrosospira,Nitrosospira-sp_2630434854
ASV_631,Nitrosospira,Nitrosospira-briensis-C-128_2588205525
ASV_632,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_633,Nitrosomonas,Nitrosomonas-sp-Is79A3_651001907
ASV_634,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_635,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_636,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_637,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_638,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_639,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_640,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_641,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_642,Nitrosospira,Nitrosospira-sp_2630434854
ASV_643,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_644,Nitrosospira,Nitrosospira-sp_2636913388
ASV_645,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_646,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_647,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_648,Nitrosospira,Nitrosospira-briensis-C-128_2588205525
ASV_649,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_650,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_651,Nitrosospira,Nitrosospira-sp_2636913388
ASV_652,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_653,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_654,Nitrosospira,Nitrosospira-sp_2636913388
ASV_655,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_656,Nitrosospira,Nitrosospira-briensis-C-128_2588205525
ASV_657,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_658,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_659,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_660,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_661,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_662,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_663,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_664,Nitrosomonas,Nitrosomonas-oligotropha-Nm75_2671668620
ASV_665,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_666,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_668,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_669,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_670,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_671,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_672,Nitrosomonas,Nitrosomonas-oligotropha-Nm75_2671668620
ASV_673,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_674,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_675,Nitrosospira,Nitrosospira-briensis-C-128_2588205525
ASV_676,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_677,Nitrosospira,Nitrosospira-briensis-C-128_2588205525
ASV_679,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_680,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_681,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_682,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_684,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_685,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_686,Nitrosospira,Nitrosospira-briensis-C-128_2588205525
ASV_687,Nitrosospira,Nitrosospira-sp_2636913388
ASV_688,Nitrosospira,Nitrosospira-briensis-C-128_2588205525
ASV_689,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_690,Nitrosospira,Nitrosospira-sp_2630434854
ASV_691,Nitrosomonas,Nitrosomonas-eutropha-Nm24_2671439678
ASV_692,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_693,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_694,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_695,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_696,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_697,Nitrosomonas,Nitrosomonas-sp-Is79A3_651001907
ASV_698,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_699,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_700,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_701,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_702,Nitrosospira,Nitrosospira-sp_2636913388
ASV_703,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_704,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_705,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_707,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_708,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_709,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_710,Nitrosospira,Nitrosospira-briensis-C-128_2588205525
ASV_711,Nitrosospira,Nitrosospira-briensis-C-128_2588205525
ASV_712,Nitrosospira,Nitrosospira-briensis-C-128_2588205525
ASV_713,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_714,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_715,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_716,Nitrosospira,Nitrosospira-sp_2636913388
ASV_717,Nitrosolobus,Nitrosolobus-sp-Nl14_2671461169
ASV_718,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_719,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_720,Nitrosolobus,Nitrosolobus-sp-Nl14_2671461169
ASV_721,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_722,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_723,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_724,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_725,Nitrosolobus,Nitrosolobus-sp-Nl14_2671461169
ASV_726,Nitrosospira,Nitrosospira-sp-Nsp22_2737533475
ASV_727,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_728,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_729,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_731,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_732,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_733,Nitrosospira,Nitrosospira-briensis-C-128_2588205525
ASV_736,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_738,Nitrosospira,Nitrosospira-sp_2636913388
ASV_739,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_740,Nitrosospira,Nitrosospira-briensis-C-128_2588205525
ASV_741,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_742,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_743,Nitrosolobus,Nitrosolobus-sp-Nl14_2671461169
ASV_744,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_745,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_746,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_747,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_748,Nitrosospira,Nitrosospira-sp_2636913388
ASV_749,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_750,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_751,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_752,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_753,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_754,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_755,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_756,Nitrosospira,Nitrosospira-sp_2636913388
ASV_757,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_758,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_759,Nitrosospira,Nitrosospira-sp-Nsp22_2737533475
ASV_760,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_761,Nitrosospira,Nitrosospira-sp_2636913388
ASV_762,Nitrosospira,Nitrosospira-sp-Nsp22_2737533475
ASV_763,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_764,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_765,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_766,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_767,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_768,Nitrosospira,Nitrosospira-sp_2636913388
ASV_769,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_770,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_771,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_772,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_773,Nitrosospira,Nitrosospira-sp_2636913388
ASV_774,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_775,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_776,Nitrosolobus,Nitrosolobus-multiformis-Nl7_2671428569
ASV_777,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_778,Nitrosomonas,Nitrosomonas-sp-HPC101_2898509743
ASV_779,Nitrosospira,Nitrosospira-briensis-C-128_2588205525
ASV_780,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_781,Nitrosomonas,Nitrosomonas-sp-HPC101_2898509743
ASV_782,Nitrosospira,Nitrosospira-briensis-C-128_2588205525
ASV_783,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_784,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_785,Nitrosospira,Nitrosospira-sp_2630434854
ASV_786,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_787,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_789,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_790,Nitrosospira,Nitrosospira-briensis-C-128_2588205525
ASV_791,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_792,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_793,Nitrosospira,Nitrosospira-briensis-C-128_2588205525
ASV_794,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
